battery_id,vehicle,pack_capacity_kwh,usage_years,mileage_km,soh_percent,avg_temp_c,max_temp_c,cell_v_max,cell_v_min,bms_error_count,fast_charge_ratio_percent
IN-2026-039,EV D,84.0,1.4,11383,91.9,30.3,52.1,4.062,4.033,0,53
IN-2026-040,EV E,72.6,5.7,84392,77.1,30.1,51.5,4.084,4.042,1,68
IN-2026-041,EV D,84.0,5.1,72294,81.9,26.6,38.3,4.124,4.097,2,49
IN-2026-042,EV D,84.0,9.7,215010,57.9,27.0,37.0,4.108,4.051,1,41
IN-2026-043,EV B,77.4,2.5,30587,84.0,30.7,45.3,4.057,4.032,0,39
IN-2026-044,EV E,72.6,4.8,101747,78.2,36.8,48.0,4.115,4.069,2,34
IN-2026-045,EV A,64.0,10.6,134956,60.0,34.5,50.1,4.072,4.019,2,33
IN-2026-046,EV C,58.0,11.5,144939,59.5,32.8,51.8,4.113,3.903,5,34
IN-2026-047,EV A,64.0,6.7,98708,75.4,21.8,37.4,4.136,4.122,0,31
IN-2026-048,EV B,77.4,3.8,34039,83.6,25.1,44.9,4.075,4.052,0,62
IN-2026-049,EV E,72.6,5.3,78942,81.9,30.2,63.3,4.078,4.019,0,28
IN-2026-050,EV E,72.6,6.4,116496,72.0,31.3,50.0,4.132,4.094,2,29
IN-2026-051,EV C,58.0,8.1,138147,62.3,25.7,43.3,4.074,4.019,2,68
IN-2026-052,EV D,84.0,5.6,50463,81.9,28.4,73.1,4.089,4.065,0,34
IN-2026-053,EV E,72.6,3.1,37940,86.1,25.2,42.5,4.053,3.904,0,58
IN-2026-054,EV C,58.0,6.3,94305,76.2,23.2,41.1,4.102,4.071,0,57
IN-2026-055,EV D,84.0,11.0,206554,47.6,37.7,59.6,4.108,4.034,1,41
IN-2026-056,EV B,77.4,12.2,285564,39.8,26.6,36.5,4.086,4.004,6,52
IN-2026-057,EV A,64.0,10.9,212959,52.5,30.9,41.9,4.075,4.019,3,31
IN-2026-058,EV B,77.4,5.5,63350,80.4,24.7,34.2,4.063,4.04,1,45
IN-2026-059,EV A,64.0,3.5,63946,88.1,28.3,43.2,4.052,4.031,0,5
IN-2026-060,EV A,64.0,8.9,181720,51.9,27.0,46.9,4.126,4.067,3,73
IN-2026-061,EV E,72.6,9.9,188152,60.6,25.1,38.7,4.058,3.982,0,7
IN-2026-062,EV C,58.0,12.0,268806,43.8,28.2,49.3,4.122,4.042,1,62
IN-2026-063,EV E,72.6,6.3,67246,85.1,24.5,42.7,4.125,4.099,0,26
IN-2026-064,EV B,77.4,6.1,88168,74.4,34.7,44.4,4.118,4.091,1,50
IN-2026-065,EV D,84.0,12.0,144318,60.5,31.3,50.8,4.122,4.041,0,25
IN-2026-066,EV D,84.0,2.8,43851,85.4,29.7,42.7,4.108,4.098,0,56
IN-2026-067,EV A,64.0,11.5,177594,57.8,30.4,42.3,4.134,3.905,6,42
IN-2026-068,EV D,84.0,9.2,148154,66.0,30.2,41.6,4.126,4.096,6,55
IN-2026-069,EV C,58.0,2.9,61173,82.4,31.9,51.8,4.095,4.084,0,70
IN-2026-070,EV B,77.4,12.8,138328,54.1,34.3,51.4,4.064,3.997,1,54
IN-2026-071,EV A,64.0,6.2,73851,80.1,22.4,43.3,4.098,4.089,0,61
IN-2026-072,EV A,64.0,6.3,92900,75.9,36.0,45.9,4.124,4.079,0,54
IN-2026-073,EV C,58.0,9.6,80682,70.1,28.2,37.9,4.075,4.04,0,53
IN-2026-074,EV E,72.6,4.1,88295,79.5,25.2,38.2,4.068,4.02,0,13
IN-2026-075,EV D,84.0,6.6,89410,67.8,31.6,49.2,4.094,4.037,3,63
IN-2026-076,EV B,77.4,8.9,87572,69.6,21.7,34.8,4.136,4.091,11,51
IN-2026-077,EV A,64.0,1.1,20476,96.3,23.2,44.8,4.085,4.08,0,40
IN-2026-078,EV C,58.0,5.8,116155,74.0,34.3,55.0,4.06,4.043,0,48
IN-2026-079,EV E,72.6,8.6,113229,73.2,29.9,51.1,4.091,4.056,0,47
IN-2026-080,EV A,64.0,5.2,60471,81.1,24.3,38.2,4.078,4.056,0,35
IN-2026-081,EV A,64.0,8.8,185297,62.1,30.4,45.6,4.074,4.024,0,61
IN-2026-082,EV B,77.4,12.9,275060,41.6,20.1,40.4,4.114,4.04,7,33
IN-2026-083,EV C,58.0,1.2,14378,92.9,32.9,54.0,4.138,4.127,0,79
IN-2026-084,EV D,84.0,1.8,31262,91.4,33.4,52.0,4.109,4.092,0,27
IN-2026-085,EV C,58.0,6.8,108242,72.8,25.7,40.9,4.099,4.048,1,5
IN-2026-086,EV D,84.0,4.4,41364,84.5,23.5,45.0,4.083,4.062,0,34
IN-2026-087,EV C,58.0,7.4,150427,70.9,21.3,36.0,4.106,4.054,1,59
IN-2026-088,EV A,64.0,7.4,170492,68.1,31.5,41.5,4.071,4.015,1,19
IN-2026-089,EV D,84.0,2.9,64243,87.2,30.9,43.5,4.124,4.093,0,31
IN-2026-090,EV D,84.0,1.0,22957,95.8,29.4,40.6,4.096,4.091,0,42
IN-2026-091,EV B,77.4,3.0,51725,88.7,25.9,46.6,4.127,4.091,0,21
IN-2026-092,EV A,64.0,9.0,157818,59.6,23.4,40.5,4.067,4.013,1,53
IN-2026-093,EV B,77.4,12.2,219339,46.3,26.7,64.0,4.069,3.985,0,54
IN-2026-094,EV A,64.0,2.8,53471,92.4,34.9,47.3,4.055,4.032,14,44
IN-2026-095,EV A,64.0,7.7,142335,68.6,31.9,50.6,4.086,4.052,1,44
IN-2026-096,EV D,84.0,7.8,118462,71.8,34.6,74.2,4.138,4.095,0,18
IN-2026-097,EV D,84.0,4.9,39452,88.0,25.9,37.2,4.135,4.106,0,38
IN-2026-098,EV C,58.0,10.8,199314,58.2,28.3,39.0,4.123,3.938,4,29
IN-2026-099,EV D,84.0,9.3,85341,72.7,27.3,47.2,4.13,4.087,4,49
IN-2026-100,EV E,72.6,2.3,42877,88.1,24.0,42.6,4.133,4.11,0,60
IN-2026-101,EV C,58.0,3.9,40361,88.9,35.1,47.3,4.067,4.059,0,29
IN-2026-102,EV B,77.4,8.7,95614,73.0,26.3,45.5,4.061,4.009,0,42
IN-2026-103,EV B,77.4,8.1,163406,69.6,29.3,50.7,4.073,4.03,1,11
IN-2026-104,EV E,72.6,11.1,107040,61.7,27.6,43.3,4.079,4.038,3,67
IN-2026-105,EV B,77.4,2.8,54461,86.6,25.1,38.3,4.068,4.032,0,70
IN-2026-106,EV B,77.4,9.5,129483,64.3,30.5,46.8,4.138,4.106,1,38
IN-2026-107,EV A,64.0,8.0,108411,72.4,30.4,41.0,4.096,4.058,0,18
IN-2026-108,EV E,72.6,11.2,90761,62.8,33.2,52.8,4.121,4.088,0,51
IN-2026-109,EV C,58.0,6.4,106170,75.0,28.9,48.8,4.069,4.012,3,52
IN-2026-110,EV D,84.0,5.4,74524,81.4,33.4,43.6,4.115,4.086,0,32
IN-2026-111,EV B,77.4,10.5,173296,62.9,28.2,39.3,4.108,4.059,0,45
IN-2026-112,EV A,64.0,9.2,82093,69.5,29.2,49.8,4.057,4.009,0,46
IN-2026-113,EV E,72.6,8.0,75476,77.9,27.3,42.9,4.061,4.027,1,26
IN-2026-114,EV D,84.0,4.3,71715,77.4,29.1,43.2,4.128,4.087,0,34
IN-2026-115,EV B,77.4,12.8,227027,44.7,27.8,42.0,4.072,3.996,0,23
IN-2026-116,EV E,72.6,12.8,175691,56.8,29.7,49.2,4.109,4.049,1,43
IN-2026-117,EV D,84.0,10.4,180469,58.5,29.0,44.0,4.084,4.027,2,31
IN-2026-118,EV A,64.0,4.2,95736,80.8,26.4,47.4,4.135,4.092,0,39
IN-2026-119,EV D,84.0,1.3,16666,95.2,21.9,40.2,4.085,4.08,0,12
IN-2026-120,EV E,72.6,11.2,148207,63.2,33.6,47.6,4.079,4.027,5,38
